state,year,quarter,pincode,registered_users
Andaman & Nicobar Islands,2023,2,Unknown,2917
Andaman & Nicobar Islands,2023,2,Unknown,2605
Andaman & Nicobar Islands,2023,3,Unknown,19673
Andaman & Nicobar Islands,2023,3,Unknown,17171
Andaman & Nicobar Islands,2023,3,Unknown,16188
Andaman & Nicobar Islands,2023,3,Unknown,10799
Andaman & Nicobar Islands,2023,3,Unknown,5480
Andaman & Nicobar Islands,2023,3,Unknown,4591
Andaman & Nicobar Islands,2023,3,Unknown,4082
Andaman & Nicobar Islands,2023,3,Unknown,3382
Andaman & Nicobar Islands,2023,3,Unknown,3033
Andaman & Nicobar Islands,2023,3,Unknown,2716
Andaman & Nicobar Islands,2023,4,Unknown,20431
Andaman & Nicobar Islands,2023,4,Unknown,17824
Andaman & Nicobar Islands,2023,4,Unknown,16772
Andaman & Nicobar Islands,2023,4,Unknown,11155
Andaman & Nicobar Islands,2023,4,Unknown,5700
Andaman & Nicobar Islands,2023,4,Unknown,4759
Andaman & Nicobar Islands,2023,4,Unknown,4224
Andaman & Nicobar Islands,2023,4,Unknown,3496
Andaman & Nicobar Islands,2023,4,Unknown,3141
Andaman & Nicobar Islands,2023,4,Unknown,2822
Andaman & Nicobar Islands,2024,1,Unknown,21242
Andaman & Nicobar Islands,2024,1,Unknown,18563
Andaman & Nicobar Islands,2024,1,Unknown,17431
Andaman & Nicobar Islands,2024,1,Unknown,11589
Andaman & Nicobar Islands,2024,1,Unknown,5978
Andaman & Nicobar Islands,2024,1,Unknown,5006
Andaman & Nicobar Islands,2024,1,Unknown,4398
Andaman & Nicobar Islands,2024,1,Unknown,3629
Andaman & Nicobar Islands,2024,1,Unknown,3292
Andaman & Nicobar Islands,2024,1,Unknown,2975
Andaman & Nicobar Islands,2024,2,Unknown,22049
Andaman & Nicobar Islands,2024,2,Unknown,19314
Andaman & Nicobar Islands,2024,2,Unknown,18110
Andaman & Nicobar Islands,2024,2,Unknown,12053
Andaman & Nicobar Islands,2024,2,Unknown,6212
Andaman & Nicobar Islands,2024,2,Unknown,5184
Andaman & Nicobar Islands,2024,2,Unknown,4570
Andaman & Nicobar Islands,2024,2,Unknown,3761
Andaman & Nicobar Islands,2024,2,Unknown,3409
Andaman & Nicobar Islands,2024,2,Unknown,3090
Andaman & Nicobar Islands,2024,3,Unknown,42228
Andaman & Nicobar Islands,2024,3,Unknown,22090
Andaman & Nicobar Islands,2024,3,Unknown,17618
Andaman & Nicobar Islands,2024,3,Unknown,17606
Andaman & Nicobar Islands,2024,3,Unknown,11136
Andaman & Nicobar Islands,2024,3,Unknown,9206
Andaman & Nicobar Islands,2024,3,Unknown,7682
Andaman & Nicobar Islands,2024,3,Unknown,7045
Andaman & Nicobar Islands,2024,3,Unknown,6127
Andaman & Nicobar Islands,2024,3,Unknown,4126
Andaman & Nicobar Islands,2024,4,Unknown,43485
Andaman & Nicobar Islands,2024,4,Unknown,22976
Andaman & Nicobar Islands,2024,4,Unknown,18509
Andaman & Nicobar Islands,2024,4,Unknown,18169
Andaman & Nicobar Islands,2024,4,Unknown,11564
Andaman & Nicobar Islands,2024,4,Unknown,9545
Andaman & Nicobar Islands,2024,4,Unknown,7974
Andaman & Nicobar Islands,2024,4,Unknown,7337
Andaman & Nicobar Islands,2024,4,Unknown,6333
Andaman & Nicobar Islands,2024,4,Unknown,4221
Andhra Pradesh,2018,1,Unknown,39884
Andhra Pradesh,2018,1,Unknown,34201
Andhra Pradesh,2018,1,Unknown,34111
Andhra Pradesh,2018,1,Unknown,31964
Andhra Pradesh,2018,1,Unknown,29078
Andhra Pradesh,2018,1,Unknown,29043
Andhra Pradesh,2018,1,Unknown,26889
Andhra Pradesh,2018,1,Unknown,26187
Andhra Pradesh,2018,1,Unknown,24397
Andhra Pradesh,2018,1,Unknown,23439
Andhra Pradesh,2018,2,Unknown,53468
Andhra Pradesh,2018,2,Unknown,45241
Andhra Pradesh,2018,2,Unknown,43386
Andhra Pradesh,2018,2,Unknown,42466
Andhra Pradesh,2018,2,Unknown,38402
Andhra Pradesh,2018,2,Unknown,37593
Andhra Pradesh,2018,2,Unknown,34544
Andhra Pradesh,2018,2,Unknown,34126
Andhra Pradesh,2018,2,Unknown,31871
Andhra Pradesh,2018,2,Unknown,31134
Andhra Pradesh,2018,3,Unknown,65157
Andhra Pradesh,2018,3,Unknown,54849
Andhra Pradesh,2018,3,Unknown,52259
Andhra Pradesh,2018,3,Unknown,51449
Andhra Pradesh,2018,3,Unknown,46691
Andhra Pradesh,2018,3,Unknown,45145
Andhra Pradesh,2018,3,Unknown,41963
Andhra Pradesh,2018,3,Unknown,40580
Andhra Pradesh,2018,3,Unknown,38918
Andhra Pradesh,2018,3,Unknown,37559
Andhra Pradesh,2018,4,Unknown,82873
Andhra Pradesh,2018,4,Unknown,70421
Andhra Pradesh,2018,4,Unknown,65549
Andhra Pradesh,2018,4,Unknown,63576
Andhra Pradesh,2018,4,Unknown,58028
Andhra Pradesh,2018,4,Unknown,55735
Andhra Pradesh,2018,4,Unknown,52058
Andhra Pradesh,2018,4,Unknown,51900
Andhra Pradesh,2018,4,Unknown,48991
Andhra Pradesh,2018,4,Unknown,46616
Andhra Pradesh,2019,1,Unknown,100561
Andhra Pradesh,2019,1,Unknown,85980
Andhra Pradesh,2019,1,Unknown,77790
Andhra Pradesh,2019,1,Unknown,75171
Andhra Pradesh,2019,1,Unknown,68514
Andhra Pradesh,2019,1,Unknown,66689
Andhra Pradesh,2019,1,Unknown,61623
Andhra Pradesh,2019,1,Unknown,60798
Andhra Pradesh,2019,1,Unknown,59055
Andhra Pradesh,2019,1,Unknown,55931
Andhra Pradesh,2019,2,Unknown,113033
Andhra Pradesh,2019,2,Unknown,97534
Andhra Pradesh,2019,2,Unknown,87556
Andhra Pradesh,2019,2,Unknown,84157
Andhra Pradesh,2019,2,Unknown,76617
Andhra Pradesh,2019,2,Unknown,75952
Andhra Pradesh,2019,2,Unknown,68283
Andhra Pradesh,2019,2,Unknown,66885
Andhra Pradesh,2019,2,Unknown,66082
Andhra Pradesh,2019,2,Unknown,62933
Andhra Pradesh,2019,3,Unknown,124727
Andhra Pradesh,2019,3,Unknown,108199
Andhra Pradesh,2019,3,Unknown,97323
Andhra Pradesh,2019,3,Unknown,93191
Andhra Pradesh,2019,3,Unknown,84918
Andhra Pradesh,2019,3,Unknown,84693
Andhra Pradesh,2019,3,Unknown,74501
Andhra Pradesh,2019,3,Unknown,73267
Andhra Pradesh,2019,3,Unknown,72722
Andhra Pradesh,2019,3,Unknown,69783
Andhra Pradesh,2019,4,Unknown,136436
Andhra Pradesh,2019,4,Unknown,119146
Andhra Pradesh,2019,4,Unknown,106404
Andhra Pradesh,2019,4,Unknown,102848
Andhra Pradesh,2019,4,Unknown,94209
Andhra Pradesh,2019,4,Unknown,94193
Andhra Pradesh,2019,4,Unknown,81619
Andhra Pradesh,2019,4,Unknown,81191
Andhra Pradesh,2019,4,Unknown,79453
Andhra Pradesh,2019,4,Unknown,77681
Andhra Pradesh,2020,1,Unknown,146823
Andhra Pradesh,2020,1,Unknown,129214
Andhra Pradesh,2020,1,Unknown,114042
Andhra Pradesh,2020,1,Unknown,111359
Andhra Pradesh,2020,1,Unknown,102905
Andhra Pradesh,2020,1,Unknown,102893
Andhra Pradesh,2020,1,Unknown,89774
Andhra Pradesh,2020,1,Unknown,87449
Andhra Pradesh,2020,1,Unknown,85878
Andhra Pradesh,2020,1,Unknown,85779
Andhra Pradesh,2020,2,Unknown,156221
Andhra Pradesh,2020,2,Unknown,138735
Andhra Pradesh,2020,2,Unknown,120621
Andhra Pradesh,2020,2,Unknown,119223
Andhra Pradesh,2020,2,Unknown,112673
Andhra Pradesh,2020,2,Unknown,111898
Andhra Pradesh,2020,2,Unknown,98803
Andhra Pradesh,2020,2,Unknown,93834
Andhra Pradesh,2020,2,Unknown,93224
Andhra Pradesh,2020,2,Unknown,91299
Andhra Pradesh,2020,3,Unknown,166768
Andhra Pradesh,2020,3,Unknown,149001
Andhra Pradesh,2020,3,Unknown,128227
Andhra Pradesh,2020,3,Unknown,128059
Andhra Pradesh,2020,3,Unknown,121529
Andhra Pradesh,2020,3,Unknown,120997
Andhra Pradesh,2020,3,Unknown,108073
Andhra Pradesh,2020,3,Unknown,102103
Andhra Pradesh,2020,3,Unknown,99754
Andhra Pradesh,2020,3,Unknown,97752
Andhra Pradesh,2020,4,Unknown,178328
Andhra Pradesh,2020,4,Unknown,160062
Andhra Pradesh,2020,4,Unknown,137945
Andhra Pradesh,2020,4,Unknown,136049
Andhra Pradesh,2020,4,Unknown,130871
Andhra Pradesh,2020,4,Unknown,130500
Andhra Pradesh,2020,4,Unknown,117397
Andhra Pradesh,2020,4,Unknown,110746
Andhra Pradesh,2020,4,Unknown,106320
Andhra Pradesh,2020,4,Unknown,104956
Andhra Pradesh,2021,1,Unknown,190712
Andhra Pradesh,2021,1,Unknown,171417
Andhra Pradesh,2021,1,Unknown,147941
Andhra Pradesh,2021,1,Unknown,145206
Andhra Pradesh,2021,1,Unknown,140153
Andhra Pradesh,2021,1,Unknown,139840
Andhra Pradesh,2021,1,Unknown,126260
Andhra Pradesh,2021,1,Unknown,118730
Andhra Pradesh,2021,1,Unknown,113581
Andhra Pradesh,2021,1,Unknown,112324
Andhra Pradesh,2021,2,Unknown,203005
Andhra Pradesh,2021,2,Unknown,182425
Andhra Pradesh,2021,2,Unknown,157649
Andhra Pradesh,2021,2,Unknown,154509
Andhra Pradesh,2021,2,Unknown,149368
Andhra Pradesh,2021,2,Unknown,148851
Andhra Pradesh,2021,2,Unknown,134622
Andhra Pradesh,2021,2,Unknown,126459
Andhra Pradesh,2021,2,Unknown,120973
Andhra Pradesh,2021,2,Unknown,119561
Andhra Pradesh,2021,3,Unknown,216777
Andhra Pradesh,2021,3,Unknown,194860
Andhra Pradesh,2021,3,Unknown,168654
Andhra Pradesh,2021,3,Unknown,164812
Andhra Pradesh,2021,3,Unknown,159802
Andhra Pradesh,2021,3,Unknown,158891
Andhra Pradesh,2021,3,Unknown,144068
Andhra Pradesh,2021,3,Unknown,135136
Andhra Pradesh,2021,3,Unknown,129270
Andhra Pradesh,2021,3,Unknown,127618
Andhra Pradesh,2021,4,Unknown,230688
Andhra Pradesh,2021,4,Unknown,207174
Andhra Pradesh,2021,4,Unknown,179763
Andhra Pradesh,2021,4,Unknown,175300
Andhra Pradesh,2021,4,Unknown,170267
Andhra Pradesh,2021,4,Unknown,169158
Andhra Pradesh,2021,4,Unknown,153381
Andhra Pradesh,2021,4,Unknown,143764
Andhra Pradesh,2021,4,Unknown,137812
Andhra Pradesh,2021,4,Unknown,135719
Andhra Pradesh,2022,1,Unknown,243791
Andhra Pradesh,2022,1,Unknown,218905
Andhra Pradesh,2022,1,Unknown,190203
Andhra Pradesh,2022,1,Unknown,185094
Andhra Pradesh,2022,1,Unknown,180102
Andhra Pradesh,2022,1,Unknown,179007
Andhra Pradesh,2022,1,Unknown,162263
Andhra Pradesh,2022,1,Unknown,151939
Andhra Pradesh,2022,1,Unknown,145842
Andhra Pradesh,2022,1,Unknown,143308
Andhra Pradesh,2022,2,Unknown,256290
Andhra Pradesh,2022,2,Unknown,229983
Andhra Pradesh,2022,2,Unknown,200266
Andhra Pradesh,2022,2,Unknown,194513
Andhra Pradesh,2022,2,Unknown,189505
Andhra Pradesh,2022,2,Unknown,188295
Andhra Pradesh,2022,2,Unknown,170855
Andhra Pradesh,2022,2,Unknown,159834
Andhra Pradesh,2022,2,Unknown,153586
Andhra Pradesh,2022,2,Unknown,150546
Andhra Pradesh,2022,3,Unknown,269370
Andhra Pradesh,2022,3,Unknown,241720
Andhra Pradesh,2022,3,Unknown,210661
Andhra Pradesh,2022,3,Unknown,204230
Andhra Pradesh,2022,3,Unknown,199354
Andhra Pradesh,2022,3,Unknown,197910
Andhra Pradesh,2022,3,Unknown,179806
Andhra Pradesh,2022,3,Unknown,168015
Andhra Pradesh,2022,3,Unknown,161715
Andhra Pradesh,2022,3,Unknown,158071
Andhra Pradesh,2022,4,Unknown,282766
Andhra Pradesh,2022,4,Unknown,253314
Andhra Pradesh,2022,4,Unknown,221328
Andhra Pradesh,2022,4,Unknown,214155
Andhra Pradesh,2022,4,Unknown,209376
Andhra Pradesh,2022,4,Unknown,207725
Andhra Pradesh,2022,4,Unknown,188768
Andhra Pradesh,2022,4,Unknown,176415
Andhra Pradesh,2022,4,Unknown,169957
Andhra Pradesh,2022,4,Unknown,165734
Andhra Pradesh,2023,1,Unknown,295420
Andhra Pradesh,2023,1,Unknown,264456
Andhra Pradesh,2023,1,Unknown,231542
Andhra Pradesh,2023,1,Unknown,223726
Andhra Pradesh,2023,1,Unknown,219100
Andhra Pradesh,2023,1,Unknown,217104
Andhra Pradesh,2023,1,Unknown,197437
Andhra Pradesh,2023,1,Unknown,184419
Andhra Pradesh,2023,1,Unknown,177985
Andhra Pradesh,2023,1,Unknown,173156
Andhra Pradesh,2023,2,Unknown,306201
Andhra Pradesh,2023,2,Unknown,273955
Andhra Pradesh,2023,2,Unknown,240176
Andhra Pradesh,2023,2,Unknown,231775
Andhra Pradesh,2023,2,Unknown,227292
Andhra Pradesh,2023,2,Unknown,225126
Andhra Pradesh,2023,2,Unknown,204900
Andhra Pradesh,2023,2,Unknown,191332
Andhra Pradesh,2023,2,Unknown,184561
Andhra Pradesh,2023,2,Unknown,179439
Andhra Pradesh,2023,3,Unknown,317981
Andhra Pradesh,2023,3,Unknown,284487
Andhra Pradesh,2023,3,Unknown,249655
Andhra Pradesh,2023,3,Unknown,240480
Andhra Pradesh,2023,3,Unknown,236199
Andhra Pradesh,2023,3,Unknown,233874
Andhra Pradesh,2023,3,Unknown,213165
Andhra Pradesh,2023,3,Unknown,198528
Andhra Pradesh,2023,3,Unknown,192066
Andhra Pradesh,2023,3,Unknown,186511
Andhra Pradesh,2023,4,Unknown,328762
Andhra Pradesh,2023,4,Unknown,293894
Andhra Pradesh,2023,4,Unknown,258235
Andhra Pradesh,2023,4,Unknown,248401
Andhra Pradesh,2023,4,Unknown,244371
Andhra Pradesh,2023,4,Unknown,242054
Andhra Pradesh,2023,4,Unknown,220919
Andhra Pradesh,2023,4,Unknown,205559
Andhra Pradesh,2023,4,Unknown,198977
Andhra Pradesh,2023,4,Unknown,192934
Andhra Pradesh,2024,1,Unknown,341202
Andhra Pradesh,2024,1,Unknown,305041
Andhra Pradesh,2024,1,Unknown,268309
Andhra Pradesh,2024,1,Unknown,257668
Andhra Pradesh,2024,1,Unknown,253903
Andhra Pradesh,2024,1,Unknown,251394
Andhra Pradesh,2024,1,Unknown,229802
Andhra Pradesh,2024,1,Unknown,213525
Andhra Pradesh,2024,1,Unknown,206906
Andhra Pradesh,2024,1,Unknown,200608
Andhra Pradesh,2024,2,Unknown,353573
Andhra Pradesh,2024,2,Unknown,316010
Andhra Pradesh,2024,2,Unknown,278162
Andhra Pradesh,2024,2,Unknown,266985
Andhra Pradesh,2024,2,Unknown,263336
Andhra Pradesh,2024,2,Unknown,260257
Andhra Pradesh,2024,2,Unknown,238191
Andhra Pradesh,2024,2,Unknown,221215
Andhra Pradesh,2024,2,Unknown,214840
Andhra Pradesh,2024,2,Unknown,207237
Andhra Pradesh,2024,3,Unknown,402860
Andhra Pradesh,2024,3,Unknown,230123
Andhra Pradesh,2024,3,Unknown,216907
Andhra Pradesh,2024,3,Unknown,200693
Andhra Pradesh,2024,3,Unknown,195988
Andhra Pradesh,2024,3,Unknown,193508
Andhra Pradesh,2024,3,Unknown,190164
Andhra Pradesh,2024,3,Unknown,190077
Andhra Pradesh,2024,3,Unknown,188363
Andhra Pradesh,2024,3,Unknown,187871
Andhra Pradesh,2024,4,Unknown,418271
Andhra Pradesh,2024,4,Unknown,237781
Andhra Pradesh,2024,4,Unknown,224333
Andhra Pradesh,2024,4,Unknown,207830
Andhra Pradesh,2024,4,Unknown,202231
Andhra Pradesh,2024,4,Unknown,198741
Andhra Pradesh,2024,4,Unknown,196902
Andhra Pradesh,2024,4,Unknown,195477
Andhra Pradesh,2024,4,Unknown,194634
