state,year,quarter,district,count,amount
Arunachal Pradesh,2021,2,Namsai,11,8880.0
Arunachal Pradesh,2021,3,Lower Dibang Valley,13,11845.0
Arunachal Pradesh,2021,3,Lower Subansiri,6,11875.0
Arunachal Pradesh,2021,3,West Siang,21,57300.0
Arunachal Pradesh,2021,3,Kamle,2,1245.0
Arunachal Pradesh,2021,3,Upper Siang,5,11455.0
Arunachal Pradesh,2021,3,Tirap,14,38082.0
Arunachal Pradesh,2021,3,Papum Pare,50,95368.0
Arunachal Pradesh,2021,3,Anjaw,1,1531.0
Arunachal Pradesh,2021,3,Lower Siang,3,1927.0
Arunachal Pradesh,2021,3,Kra Daadi,1,946.0
Arunachal Pradesh,2021,3,Changlang,15,25894.0
Arunachal Pradesh,2021,3,West Kameng,22,21566.0
Arunachal Pradesh,2021,3,East Siang,23,32914.0
Arunachal Pradesh,2021,3,Upper Subansiri,2,2417.0
Arunachal Pradesh,2021,3,Lohit,10,15097.0
Arunachal Pradesh,2021,3,Lepa Rada,1,946.0
Arunachal Pradesh,2021,3,Tawang,8,5436.0
Arunachal Pradesh,2021,3,Namsai,15,35207.0
Arunachal Pradesh,2021,4,Lower Dibang Valley,11,12440.0
Arunachal Pradesh,2021,4,Lower Subansiri,7,10820.0
Arunachal Pradesh,2021,4,Longding,2,4852.0
Arunachal Pradesh,2021,4,West Siang,14,25308.0
Arunachal Pradesh,2021,4,Upper Siang,2,6420.0
Arunachal Pradesh,2021,4,Tirap,14,37402.0
Arunachal Pradesh,2021,4,Papum Pare,128,232985.0
Arunachal Pradesh,2021,4,Kurung Kumey,2,4597.0
Arunachal Pradesh,2021,4,Anjaw,2,1175.0
Arunachal Pradesh,2021,4,Siang,5,7876.0
Arunachal Pradesh,2021,4,Lower Siang,2,3130.0
Arunachal Pradesh,2021,4,Changlang,26,59532.0
Arunachal Pradesh,2021,4,Pakke Kessang,4,6980.0
Arunachal Pradesh,2021,4,West Kameng,37,61049.0
Arunachal Pradesh,2021,4,East Siang,7,22841.0
Arunachal Pradesh,2021,4,Upper Subansiri,4,6632.0
