state,year,quarter,district,registered_users,app_opens
Andhra Pradesh,2019,4,Vizianagaram,443810,17515311
Andhra Pradesh,2019,4,Ysr,646642,21543798
Andhra Pradesh,2019,4,West Godavari,750078,19393528
Andhra Pradesh,2019,4,Chittoor,1156351,44888591
Andhra Pradesh,2020,1,East Godavari,1329664,46142746
Andhra Pradesh,2020,1,Srikakulam,552007,20975989
Andhra Pradesh,2020,1,Visakhapatnam,1763581,77558624
Andhra Pradesh,2020,1,Prakasam,748655,26870693
Andhra Pradesh,2020,1,Anantapur,971850,36900103
Andhra Pradesh,2020,1,Kurnool,936293,34198350
Andhra Pradesh,2020,1,Guntur,1289678,45282758
Andhra Pradesh,2020,1,Krishna,1331602,46079408
Andhra Pradesh,2020,1,Spsr Nellore,775440,28879364
Andhra Pradesh,2020,1,Vizianagaram,490683,21562104
Andhra Pradesh,2020,1,Ysr,717865,26166193
Andhra Pradesh,2020,1,West Godavari,843835,24542868
Andhra Pradesh,2020,1,Chittoor,1270907,51354573
Andhra Pradesh,2020,2,East Godavari,1459116,45884498
Andhra Pradesh,2020,2,Srikakulam,608002,23808009
Andhra Pradesh,2020,2,Visakhapatnam,1904719,69684456
Andhra Pradesh,2020,2,Prakasam,830709,32255276
Andhra Pradesh,2020,2,Anantapur,1076953,39704703
Andhra Pradesh,2020,2,Kurnool,1035093,36268390
Andhra Pradesh,2020,2,Guntur,1426271,44267596
Andhra Pradesh,2020,2,Krishna,1459041,41234166
Andhra Pradesh,2020,2,Spsr Nellore,854459,30816403
Andhra Pradesh,2020,2,Vizianagaram,537798,24370380
Andhra Pradesh,2020,2,Ysr,796769,29644037
Andhra Pradesh,2020,2,West Godavari,944829,26583613
Andhra Pradesh,2020,2,Chittoor,1385916,49820171
Andhra Pradesh,2020,3,East Godavari,1601940,64292857
Andhra Pradesh,2020,3,Srikakulam,667858,31794753
Andhra Pradesh,2020,3,Visakhapatnam,2058346,102589371
Andhra Pradesh,2020,3,Prakasam,915240,44970519
Andhra Pradesh,2020,3,Anantapur,1186851,55714787
Andhra Pradesh,2020,3,Kurnool,1132240,49164718
Andhra Pradesh,2020,3,Guntur,1567595,62427501
Andhra Pradesh,2020,3,Krishna,1599289,61028114
Andhra Pradesh,2020,3,Spsr Nellore,937176,43951448
Andhra Pradesh,2020,3,Vizianagaram,587784,31199437
Andhra Pradesh,2020,3,Ysr,877909,41578067
Andhra Pradesh,2020,3,West Godavari,1053674,38126238
Andhra Pradesh,2020,3,Chittoor,1506503,69462572
Andhra Pradesh,2020,4,East Godavari,1746280,82605352
Andhra Pradesh,2020,4,Srikakulam,726761,36770992
